osm_id,hospital_name,latitude,longitude
245638783,Nampalli,16.8862748,78.9608692
247177822,SREC Health Center,11.1005451,76.9637445
248420920,Kalaignar Karunanidhi Nagar,13.0386493,80.2052158
248560797,Kasimedu,13.122775,80.2960584
258978416,Amrit Hospital,13.0922007,80.2792912
258978417,Vikram Hospital,13.0985007,80.2796178
262452334,City Tower Hospitals,13.08438,80.2160862
266740082,Swamy Hospital,12.8550625,77.6642727
267214379,Clinic,12.9134182,77.6774852
281903680,Government Hospital,11.4085627,76.7002627
282875097,Sri Ramakrishna Dental Hospital,11.0212988,76.9883526
289486820,"Apollo Hospitals, Tondiarpet",13.1289367,80.2905623
295544111,K.H.M.Hospital,13.0844424,80.2130723
295552091,Sundaram Medical Foundation,13.08217,80.2069819
295552092,Sri Devi Speciality Hospial,13.0887983,80.1994692
303590777,Corporation Hospital,13.0336624,80.2572467
303924572,Shanti Hospital,12.9235041,77.5857517
307401529,Apollo Hospital,12.9263714,77.6765455
307511109,Aravind Ayurvedic Hospital,9.363999,76.5925769
308214432,Highland Hospital,12.8663995,74.854664
308811614,"Hindu Mission Health Services, Kanchipuram",12.9787682,80.1846471
308866071,Narayana Hrudayalaya Dental Clinic,12.9155759,77.6349897
309864918,Parvathy Nursing Home,11.4156645,76.7088458
310015097,Military Hospital,13.0194622,80.1972947
310393723,Dr Ganesh Medical and Diabetic Clinic,12.9129006,77.6419101
310504820,Goverment dental hospital & collage,13.0829605,80.281264
310732936,Kilpauk Medical College,13.0785984,80.2433369
310909754,Hariharan Hospital,12.9847145,80.1905906
310910945,BM Hospital,12.9887616,80.1904116
311429396,K.F. Hospital,12.973463,80.1841397
312000326,Cancer Institute,13.0061338,80.239884
313027868,Sri Ramachandra Medical Centre and Hospital,13.0380979,80.1428047
320275820,Govt Maternity Hospital,13.0720996,80.2589871
320275824,Institute of Child Health,13.0735496,80.257025
320275839,Institute of Obstetrics and Gynaecology dd,13.0735431,80.2591463
321420767,Ellen Multispeciality Hospital,11.0213634,76.9708723
321420772,GP Hospital,11.0201233,76.9710726
